Sample Data,2022 07 02 09_51
AIM Version,11.0.1
Classifier Model,3082,Classifier S/N,3082001809001,Classifier Firmware Version,2.3
Neutralizer Model,3088,Neutralizer S/N,
Impactor (cm),None,Impactor S/N,
DMA Model,3081,DMA S/N,
DMA Inner Radius (cm),0.9369999999999999
DMA Outer Radius (cm),1.9609999999999999
DMA Characteristic Length (cm),44.369
Detector Model,3750,Detector S/N,3750180803,Nano Enhancer,NONE
Detector Sample Flow (L/min),1,Detector Inlet Flow (L/min),1
Reference Gas Viscosity (Pa*s),1.832450e-5
Reference Mean Free Path (m),6.730000e-8
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),38.40
Tube Diameter (cm),0.48
Channels/Decade,128
Multiple Charge Correction,true
Nanoparticle Agglomerate Mobility Analysis,FALSE
DiffusionCorrection,true
Units,dW/dlogDp
Weight,Number
10,07/02/2022,09:03:04,23.8,100.9,64.1,6.77989e-8,1.83627e-5,,5543.505,6119.760,4372.200,6344.287,5872.346,4361.639,3492.882,2319.039,5190.118,6024.322,6801.684,4771.580,3019.908,3389.546,5943.220,6302.166,3553.902,3782.631,5260.292,2970.183,2767.425,4518.833,3750.634,5050.933,3141.646,3873.271,3906.342,4101.333,2570.455,4800.125,4921.003,3656.977,4229.960,3989.182,2885.984,3067.782,5006.424,4423.471,2498.800,4447.342,4058.701,2413.987,3881.001,3633.739,3354.462,4334.153,3040.626,2929.207,3269.217,3250.302,2311.505,1957.908,3471.645,2397.724,3165.870,4275.251,3237.647,1799.267,2316.471,1608.195,2579.788,2777.712,2244.767,1908.100,1315.203,2447.448,2179.650,1508.402,3058.735,2323.429,3003.711,2221.996,2368.787,2050.640,774.065,1763.134,650.846,1276.630,1175.851,1452.694,1319.698,1555.631,733.620,948.606,493.953,821.649,1497.273,943.376,1116.119,695.983,1109.845,1179.453,615.508,1173.954,1228.957,635.321,1104.341,730.330,630.198,1349.346,905.816,703.068,873.279,685.513,1068.411,1657.209,1565.015,864.686,957.408,460.383,1288.643,268.399,96.533,797.210,850.497,470.207,669.476,723.839,654.645,852.342,1112.935,998.237,89.382,0.000,840.879,1168.032,298.749,1107.645,1343.385,988.036,1083.672,1457.208,1005.253,303.732,1098.968,456.022,835.822,1050.165,945.150,1262.130,1311.949,1462.952,664.358,1194.778,770.204,799.352,138.067,437.350,1329.573,1602.492,1203.734,230.955,912.338,1191.997,703.922,932.670,867.570,433.763,185.306,438.212,508.899,171.920,0.000,251.701,0.000,193.709,387.113,364.662,0.000,47.040,165.910,107.292,190.964,0.000,291.194,195.755,98.699,99.536,0.000,0.000,0.000,206.012,103.902,0.000,105.732,0.000,107.616,108.570,219.070,110.518,334.513,0.000,6.988,680.159,115.566,349.819,307.941,45.440,239.572,846.037,121.950,246.108,248.295,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,42.631,81.452,53.467,24.805,2.249,2.74189e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
11,07/02/2022,09:04:35,23.6,100.9,64.3,6.77409e-8,1.83531e-5,,3552.112,2551.235,4514.123,8524.932,6438.127,3340.471,3715.135,2342.004,3608.351,5134.748,4005.781,2962.017,2616.543,2731.853,4558.852,5353.806,1674.788,2978.607,3724.692,3047.861,2435.711,2962.033,4331.423,3230.365,3355.099,3585.977,2359.348,3262.458,2240.391,1485.043,2354.762,3007.361,2711.164,2942.614,3800.812,2687.394,3519.130,3858.200,3653.266,4088.440,2684.806,2076.996,2237.179,1673.708,2745.642,3012.146,3301.477,2948.884,2925.038,3152.059,2031.735,2757.760,2034.188,2227.805,1378.685,2298.958,1934.226,2395.442,1651.649,2099.310,1591.503,1412.700,949.810,1816.785,1628.316,2091.246,1037.415,1017.433,1496.510,1444.455,1602.040,1783.359,2359.182,2251.541,1508.758,761.499,1018.120,756.068,1016.802,1005.980,468.856,1272.432,715.574,1207.365,1173.540,1152.183,867.015,676.734,951.715,409.703,652.346,72.316,990.310,764.399,932.233,1309.765,1146.856,995.410,1028.346,644.229,1236.891,483.923,182.015,1707.882,848.375,875.909,1012.737,726.923,245.700,700.464,439.359,1185.335,1566.687,1978.667,1144.802,546.553,330.597,519.855,540.653,693.719,648.360,623.934,1035.709,681.717,488.764,871.498,1178.868,1162.118,231.893,1439.743,1014.184,293.752,1089.726,811.182,696.639,831.905,819.251,689.303,0.000,577.872,569.057,1048.607,1218.759,749.113,697.199,282.758,881.401,230.484,454.078,378.399,450.885,1229.357,826.306,478.607,219.268,454.860,407.937,158.132,317.683,130.909,385.227,591.897,809.025,201.199,306.048,644.745,835.950,519.922,0.000,0.000,0.000,243.770,668.294,357.002,713.639,385.397,487.646,503.475,702.630,630.832,456.323,442.835,207.775,314.409,845.770,106.653,463.657,854.641,420.540,439.669,1026.656,729.931,722.451,451.014,508.213,536.544,117.644,118.707,119.772,269.975,1190.840,861.234,744.798,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,45.502,105.097,60.388,21.870,2.554,2.32086e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
12,07/02/2022,09:06:05,23.4,100.9,64.2,6.76829e-8,1.83436e-5,,3143.452,1833.875,871.041,1834.355,2450.982,1618.636,2350.174,1482.261,1941.098,1547.149,1952.312,1584.321,2142.476,2522.273,1859.487,2095.921,3176.327,2966.145,3741.312,2870.883,1500.253,3612.091,2354.790,1470.090,1997.263,2155.582,3240.322,3534.256,3520.642,1460.406,3447.516,2352.305,3196.120,2617.954,3072.996,4138.427,3933.902,2816.017,2635.125,2957.796,3110.014,2882.522,3451.169,2714.775,2746.908,2406.499,2196.185,3505.914,2169.868,2023.656,2692.955,1758.293,1414.089,2890.641,1660.655,2776.056,2275.282,2139.265,1354.662,2090.985,1646.169,2285.941,1609.573,1530.693,1784.589,1395.831,1708.683,1141.205,1229.379,1347.725,1360.702,1318.795,852.114,751.610,942.954,1004.353,1425.138,671.337,1101.945,901.501,1016.784,613.264,1007.602,835.731,665.765,607.763,882.299,682.395,233.826,683.069,904.892,180.030,394.415,470.127,997.648,625.891,679.480,1024.556,906.661,566.959,836.644,759.797,1196.394,1446.903,751.714,687.228,209.913,927.995,867.133,629.305,947.787,1510.082,934.842,792.305,729.060,246.517,1434.941,709.024,168.057,772.804,697.437,581.800,796.188,1183.260,622.718,633.770,309.309,541.417,146.684,847.173,862.149,1484.732,851.914,1039.183,628.948,810.383,705.049,539.343,134.233,278.839,584.275,889.247,354.596,1046.954,1260.825,888.814,482.100,245.028,0.000,451.399,582.160,503.474,0.000,554.952,463.074,467.330,106.942,101.212,331.354,88.150,35.745,107.473,119.090,248.762,254.270,696.608,272.377,85.713,98.479,0.000,0.000,112.892,508.024,642.738,194.084,330.742,455.889,497.561,409.370,420.690,282.309,205.963,311.634,209.582,211.414,406.138,450.968,236.909,968.043,329.026,445.913,899.881,907.925,572.546,577.681,233.158,307.848,401.531,598.792,120.834,731.527,984.172,944.232,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,48.539,110.366,65.198,38.891,2.486,1.91196e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
13,07/02/2022,09:07:36,23.4,100.9,63.4,6.76829e-8,1.83436e-5,,1972.077,2175.072,2305.698,1724.574,4267.121,2799.742,4719.801,4749.153,3380.709,3052.987,4258.780,2912.767,2838.678,2790.536,1842.730,4069.273,5319.479,4634.221,2662.458,4219.020,3023.456,2751.702,3449.978,2524.535,6005.280,7703.989,4779.926,5116.121,3511.274,3061.459,4867.487,2988.666,1787.463,2290.932,2798.284,1527.170,2091.797,2403.260,3069.313,1646.382,2752.640,2597.949,4131.695,2585.016,3087.879,2433.486,2089.645,2145.774,2473.631,1783.519,1818.242,1368.317,1441.949,1197.132,1680.142,931.853,2234.469,1174.517,1525.914,2165.401,1411.614,1412.837,895.398,1924.499,1171.728,707.351,895.432,1542.592,1241.591,647.356,1246.655,1156.856,1111.731,712.839,869.119,674.148,934.949,876.617,713.140,909.921,352.086,594.776,665.480,821.302,456.569,559.644,962.889,516.459,533.804,520.281,542.374,173.776,919.385,653.708,342.363,833.880,342.046,668.858,586.388,354.737,840.605,215.154,395.479,473.298,534.670,325.897,314.811,595.719,0.000,1002.753,1237.336,988.355,881.542,1067.972,1143.784,912.201,542.539,227.186,381.230,1323.415,826.476,734.846,274.761,791.699,644.167,154.596,751.258,504.371,476.017,686.923,947.479,440.835,360.387,493.983,475.876,532.499,282.653,349.984,140.873,560.669,744.128,101.836,701.098,546.934,365.418,399.139,336.718,9.297,252.431,193.182,631.746,627.140,200.797,136.925,312.260,101.962,83.154,466.963,420.166,639.454,423.778,427.794,0.000,0.000,0.000,193.076,625.880,360.661,298.931,371.660,357.900,345.464,488.159,288.726,297.719,189.056,360.365,432.679,200.728,303.675,102.095,147.775,524.097,473.625,0.000,213.280,322.773,108.545,0.000,110.492,222.957,112.483,340.472,343.527,924.303,466.328,117.631,118.693,239.517,0.000,121.921,246.038,124.119,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,39.389,85.011,52.655,32.488,2.316,1.95798e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
14,07/02/2022,09:09:06,23.6,100.9,63.0,6.77409e-8,1.83531e-5,,2970.514,1483.066,1779.276,1710.466,1924.543,1323.745,2440.368,3198.063,3848.884,3864.029,2287.561,1080.746,2633.590,2314.214,3124.874,2902.363,4833.528,3340.433,1613.196,1780.040,2074.043,1923.137,2985.451,3373.443,4005.250,2950.322,2862.597,3312.403,2437.742,2580.995,2033.279,2855.296,2739.206,2858.892,3399.557,3226.248,2480.273,3182.117,3383.541,2656.625,2702.869,3801.049,2387.449,2196.290,3426.772,2539.036,3321.759,2094.908,2187.178,2571.769,2619.991,1826.662,2905.076,2696.860,1940.540,1813.448,827.084,2455.708,1783.394,1800.220,2274.640,2229.541,2249.407,1764.416,2144.680,1653.800,1292.660,772.771,855.853,1672.188,2084.130,1280.930,1445.852,1339.432,987.134,1111.893,969.485,1289.027,1394.658,1054.121,995.373,1171.589,1025.918,865.089,774.249,978.891,445.555,480.763,459.915,405.920,660.234,143.806,217.271,342.515,611.502,543.881,434.626,661.852,1321.157,630.190,48.917,673.470,902.315,632.221,607.161,712.759,281.086,581.149,453.191,807.210,499.383,986.681,210.175,348.046,111.255,795.314,1337.210,824.394,608.439,837.460,376.307,64.560,486.642,673.129,726.689,805.582,996.554,512.422,686.552,753.951,424.142,372.862,568.388,583.636,857.000,918.816,614.120,693.782,869.438,482.906,792.138,455.672,457.596,208.375,0.000,0.000,641.330,558.052,422.009,278.310,395.088,227.943,258.462,0.000,164.668,252.205,261.230,199.678,282.378,0.000,0.000,0.000,0.000,277.040,250.756,0.000,0.000,0.000,208.547,0.000,19.789,34.299,286.412,192.510,97.053,0.000,98.688,286.656,12.013,101.237,0.000,0.000,103.885,314.409,105.719,0.000,0.000,434.231,219.045,221.011,401.837,719.503,340.512,229.045,115.552,0.000,235.289,118.707,718.652,241.697,243.871,246.067,124.127,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,45.054,83.400,55.260,27.632,2.190,1.84600e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
15,07/02/2022,09:10:37,23.7,100.9,63.2,6.77699e-8,1.83579e-5,,2572.356,1856.250,1762.076,237.557,1641.894,1879.378,2079.233,1789.453,971.833,2957.489,881.043,3643.161,1024.089,1234.309,2058.623,2331.090,2752.641,1492.664,2410.748,3413.238,2435.343,2223.993,3997.744,2947.699,3844.914,2964.203,3367.329,1660.998,1711.239,1834.195,2275.822,2372.336,2943.148,2760.630,2545.531,3388.180,2122.702,1810.910,1778.178,3076.332,3730.118,2593.741,3015.607,3720.680,2280.391,2353.591,2524.779,2652.587,2631.009,1580.162,2501.515,2309.934,2423.154,2634.386,2252.189,2174.500,3416.913,2111.424,2249.958,1486.725,2652.208,1201.507,1820.186,1575.936,940.283,4162.846,2234.561,2381.835,956.909,1468.424,2172.561,1281.875,1444.401,1839.758,1751.518,1783.131,1370.727,249.474,1172.051,1137.866,1518.878,1015.028,1423.132,1172.281,1082.008,921.975,870.949,870.389,579.844,1032.419,1317.254,761.807,454.257,511.331,431.592,506.235,854.077,950.119,671.628,1190.645,875.045,915.450,869.667,496.330,714.358,1039.183,917.281,731.187,177.146,451.215,763.310,1795.838,1403.468,1409.190,1106.037,1956.627,878.333,618.612,696.820,475.557,678.876,616.043,930.629,520.364,385.075,564.851,1025.001,427.539,338.506,0.000,615.541,568.968,244.522,791.526,961.728,603.600,668.762,242.279,142.825,0.000,0.000,0.000,496.010,478.152,841.070,447.681,1011.220,878.189,89.762,496.127,569.367,583.675,126.001,0.000,0.000,1236.827,2353.292,238.809,261.046,686.875,586.819,380.526,572.651,152.002,211.393,40.227,341.762,984.321,490.117,840.682,962.328,333.804,286.429,288.782,485.295,293.611,261.004,234.433,100.382,404.966,102.113,308.999,361.203,1151.182,1431.590,853.271,1142.436,1255.518,1518.209,547.950,736.337,157.060,347.532,336.524,462.252,119.176,540.621,542.135,217.526,0.000,0.000,246.081,248.280,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,53.829,115.336,69.285,66.714,2.492,1.98216e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
16,07/02/2022,09:12:07,23.7,100.9,63.5,6.77699e-8,1.83579e-5,,4222.663,5855.012,1468.585,2297.475,3126.137,2723.206,3727.682,3363.323,2706.780,2140.286,1405.588,4094.897,4448.364,3197.540,2274.806,2202.746,1102.128,2158.996,1587.888,1542.421,2639.731,5067.293,3080.374,3666.298,1204.902,2551.549,1968.322,2496.562,2405.370,2936.135,2379.128,2261.020,2646.417,3548.129,2608.662,2668.332,3309.987,2791.233,3293.800,2463.839,3201.044,2524.178,3297.231,2581.022,2694.708,3086.496,3418.822,3796.169,2358.719,4441.050,2943.388,2041.300,1821.166,2557.453,2212.386,2610.349,1629.759,1155.639,1791.895,2244.096,2521.968,2729.394,1089.997,1266.609,1440.935,1482.155,1158.599,968.318,1284.573,1598.493,1434.718,1358.337,2223.462,1133.975,1033.078,1298.280,1001.797,1697.100,1409.735,557.872,682.266,854.211,882.598,1087.460,713.779,585.359,879.241,769.134,756.980,1409.022,169.020,124.055,253.934,774.228,142.682,1294.630,939.376,894.660,221.747,281.742,177.372,333.748,639.896,858.886,937.890,1158.973,1326.684,471.967,1111.499,623.938,774.730,636.419,481.221,573.615,450.009,760.788,666.170,1045.928,212.378,736.989,753.747,676.457,1596.230,1366.167,1017.892,1082.628,589.331,697.137,298.323,392.180,136.087,1069.272,815.432,981.314,901.250,193.702,92.012,701.759,426.958,285.215,633.788,129.327,899.800,240.047,286.312,93.457,0.000,283.772,0.000,0.000,161.679,0.000,739.109,110.454,17.621,232.227,243.270,0.000,0.000,0.000,145.589,116.909,330.875,438.769,830.876,46.385,163.993,593.543,46.065,0.000,114.195,524.856,1253.164,673.824,1267.504,1400.871,1112.567,919.002,528.763,491.468,204.226,515.004,519.476,835.679,319.996,896.153,817.630,1233.502,1062.538,766.685,1070.819,719.573,567.552,572.646,231.112,233.199,705.907,356.142,479.117,1115.984,756.376,684.515,696.116,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,47.837,115.504,63.879,21.097,2.621,2.06975e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
17,07/02/2022,09:13:38,23.5,100.9,63.7,6.77119e-8,1.83484e-5,,1656.415,3360.432,2386.863,936.214,1292.452,1411.235,2843.388,1241.129,1022.164,1827.317,638.077,1615.568,2104.120,1227.104,2057.066,1747.791,2209.334,1170.352,1798.657,1435.243,2599.835,2889.369,3070.374,1976.493,2694.457,2967.221,1498.265,2722.985,2264.999,2997.013,2850.291,2822.472,3038.746,2990.768,2533.004,3631.414,4406.007,2413.751,3742.741,2217.999,3158.202,3151.495,3199.170,3036.974,2559.848,2494.327,3643.672,3342.781,3252.436,3104.217,3453.726,2879.439,3430.631,1170.749,3015.585,3296.911,2525.828,1221.216,2686.103,1722.330,1697.482,1408.365,1693.196,1706.788,2265.724,2119.120,2634.090,1524.655,1878.748,702.575,761.377,1747.221,1131.555,797.292,896.906,638.201,855.545,1361.384,1033.855,1040.679,721.959,1583.053,984.485,992.599,1902.808,713.295,1420.588,1423.594,1573.309,732.617,650.856,1354.787,478.645,939.730,1324.441,180.334,230.884,1002.319,1545.632,2029.987,1786.054,2093.320,995.469,667.444,785.672,525.795,882.548,838.090,969.972,1132.138,1065.731,755.705,967.370,1347.932,1023.109,1267.094,742.510,938.033,1100.864,482.975,1378.008,877.497,768.670,764.455,1046.112,592.930,1238.051,785.910,1488.877,1400.063,717.138,910.013,641.476,221.170,333.647,1062.548,137.129,905.539,1067.478,649.349,248.439,0.000,714.994,290.249,553.665,571.275,524.783,183.222,730.944,560.788,470.595,0.000,83.257,0.000,0.000,0.000,0.000,19.902,34.583,414.633,97.471,1014.906,543.054,811.598,626.976,260.427,273.641,0.000,0.000,0.000,0.000,552.024,668.254,673.759,582.300,391.441,296.045,784.456,212.528,124.823,486.711,353.620,1305.457,784.810,1005.467,746.541,1506.410,542.757,766.650,423.100,465.004,337.469,113.497,114.516,115.545,233.172,117.638,118.700,479.061,604.207,1097.355,882.831,922.455,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,53.074,115.787,70.308,39.596,2.459,2.03537e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
18,07/02/2022,09:15:09,23.3,100.9,63.6,6.76538e-8,1.83388e-5,,8008.481,6151.610,5630.656,2470.631,1666.366,2245.856,1557.215,4005.382,4089.534,4004.132,3291.034,3270.110,3515.067,717.752,2029.629,2312.029,3407.224,6701.514,2962.162,2304.397,2808.105,1814.601,1863.724,1255.122,2586.145,2961.293,2461.968,2673.308,2490.235,1493.619,2434.193,1748.527,3302.693,5231.323,3089.556,5904.753,2836.407,2804.850,2757.956,2122.458,3176.904,3233.453,2349.699,2491.352,2285.998,2958.326,2648.945,2609.542,2285.755,1737.641,1875.925,1895.033,1944.017,1039.653,1581.056,1885.471,2518.204,1662.545,853.444,1282.809,1294.378,1447.666,1499.276,1330.080,906.520,1229.727,1571.065,773.406,1075.574,996.052,1391.311,1320.097,689.363,660.864,1387.341,550.085,1064.291,657.455,1133.582,1262.559,692.885,1256.342,658.090,322.133,200.283,752.445,828.156,529.282,385.057,870.785,1046.408,1030.028,912.539,472.975,609.439,691.186,380.566,232.819,309.369,671.617,622.092,329.968,375.328,537.927,16.067,1012.791,796.668,638.597,826.879,711.763,462.495,838.525,458.884,572.817,364.794,142.603,128.459,597.682,107.665,927.312,374.768,579.838,670.495,364.953,790.261,749.205,774.959,433.605,831.282,553.494,0.000,0.000,573.769,0.000,558.649,405.349,379.850,1056.322,398.699,1224.186,420.362,890.067,952.157,656.197,949.231,552.532,286.705,92.149,5.597,0.000,0.000,399.018,205.771,319.534,399.201,38.704,279.091,187.177,995.298,106.013,249.701,626.989,214.648,428.839,325.088,187.112,0.000,0.000,0.000,0.000,197.337,339.646,381.814,96.238,97.036,172.729,615.181,497.532,602.148,506.089,204.178,308.927,311.615,104.785,154.879,206.842,171.592,325.616,109.503,552.430,222.944,112.476,113.484,229.005,0.000,349.717,117.624,162.291,521.527,33.533,365.742,123.012,0.000,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,40.875,84.451,52.544,20.721,2.324,1.88792e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
19,07/02/2022,09:16:39,23.4,100.9,62.8,6.76829e-8,1.83436e-5,,3285.328,3755.050,3544.661,2019.655,2146.227,2663.061,2280.430,1062.543,1754.061,1271.899,1408.548,1582.439,3770.275,2127.907,3590.859,2950.541,1673.640,1644.039,2094.269,1779.127,2776.212,2650.504,2417.090,2628.272,1905.201,1154.637,2534.699,2450.423,3211.407,2828.328,2487.751,2040.401,1154.309,2200.446,1786.445,1904.621,2953.822,2705.846,2436.451,2479.829,2878.676,1721.908,1277.574,2340.412,1967.269,2874.124,3152.916,2290.040,2773.031,2169.343,2206.627,1391.458,944.627,1019.744,1289.926,1904.142,1874.911,1666.808,1479.244,1093.219,713.612,1643.845,1169.499,847.204,1687.065,918.590,2107.632,1191.804,1344.446,1099.703,1558.727,1302.555,1191.478,1036.863,1317.751,1388.687,979.526,1106.257,739.695,985.926,452.368,928.182,605.730,940.360,940.028,1142.077,1268.120,716.989,574.027,569.337,363.202,1096.862,480.621,885.570,625.177,759.974,662.106,525.017,1065.247,1097.395,669.032,439.511,169.500,392.606,830.703,784.173,860.186,885.338,551.410,1257.983,1606.340,388.285,1369.670,1198.768,628.254,735.013,649.307,526.561,511.594,248.794,1075.447,1015.546,779.479,262.559,641.721,557.368,910.545,913.779,306.570,663.977,419.950,773.144,580.329,950.865,442.479,410.076,978.533,217.912,336.487,571.007,401.353,440.743,910.064,583.797,70.040,530.821,14.437,117.855,409.485,102.429,315.709,470.914,23.961,170.657,94.608,454.824,0.000,235.650,133.614,45.545,100.722,45.304,26.360,0.000,12.676,176.872,253.307,91.722,184.880,132.691,0.000,148.327,381.837,0.000,0.000,195.709,98.676,199.019,0.000,202.450,102.095,0.000,207.756,104.791,105.707,0.000,430.364,0.000,109.510,0.000,111.478,112.483,226.976,229.018,346.616,116.579,117.631,237.387,0.000,0.000,0.000,144.661,226.402,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,46.589,83.545,56.758,25.713,2.206,1.63808e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
20,07/02/2022,09:18:10,23.6,100.9,62.4,6.77409e-8,1.83531e-5,,1675.576,2437.408,2713.579,2036.265,1665.821,2445.273,1659.023,1965.095,716.666,1174.578,659.974,1129.620,838.901,1265.551,2100.499,1366.156,1271.681,2812.531,1464.666,835.013,1387.708,1550.033,1964.058,1804.333,2653.310,2477.797,1668.419,1956.527,1747.094,2146.152,2136.458,1128.218,2192.796,1847.153,1221.674,2861.821,1940.461,1361.371,2002.153,2717.500,2144.906,1774.804,1276.886,2002.877,2253.144,2162.855,2818.072,1855.186,1475.468,1882.408,792.810,2612.753,2339.998,1980.000,2435.592,1349.544,1780.660,1276.344,1247.156,1097.959,1533.169,668.211,1283.078,1553.488,1281.267,696.920,1241.680,649.510,2105.646,946.609,1072.730,1911.996,771.059,575.264,829.844,1051.157,1538.622,313.685,2016.090,1827.061,1168.037,761.310,662.141,845.681,729.514,700.708,1224.253,1092.602,906.813,729.052,276.635,595.891,408.431,60.840,336.502,668.224,858.513,865.308,1046.038,432.043,711.667,648.919,728.704,336.761,437.874,778.563,815.115,792.880,1111.968,252.013,576.632,559.717,1148.127,1430.830,1183.183,1303.220,1103.345,669.185,692.631,0.000,422.583,634.469,1056.601,1403.299,947.871,1099.705,548.001,1406.775,1131.844,0.000,0.000,539.472,418.471,339.370,684.249,749.567,721.533,381.538,83.455,453.578,0.000,104.880,202.108,268.898,599.094,696.562,845.736,239.526,0.000,0.000,0.000,0.000,0.000,0.000,177.853,184.873,0.000,322.488,454.000,601.302,808.191,755.222,559.299,240.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,396.986,602.866,547.240,679.383,232.383,357.791,187.136,212.765,0.000,102.107,205.988,257.420,315.450,688.471,746.568,860.844,759.899,219.045,221.005,111.491,489.178,414.471,343.567,231.104,1168.518,1879.883,1802.490,2533.605,2163.004,2288.392,1599.454,944.354,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,56.353,147.702,78.197,38.891,2.819,1.59938e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
21,07/02/2022,09:19:40,23.8,100.9,62.8,6.77989e-8,1.83627e-5,,2323.166,4006.809,1487.113,2720.548,1694.428,1835.954,777.005,995.674,725.613,738.135,1574.026,1571.494,619.899,1727.571,2096.607,2446.070,1159.134,2514.877,893.575,3161.640,1580.427,2297.706,2229.992,1478.893,1410.582,1175.557,1391.301,2094.330,1411.250,1801.559,2056.548,2049.543,2005.141,1133.067,1520.879,1855.538,1710.653,1840.184,1925.647,1655.249,725.219,2128.832,1470.797,1246.884,2020.261,2102.401,1503.560,2326.838,1623.621,2050.905,1306.659,3171.634,2050.760,1883.784,1408.002,655.457,921.243,1507.950,1369.979,1072.945,923.926,1156.476,874.329,1684.407,1746.672,974.081,957.380,1059.450,1009.727,918.075,902.870,1062.062,1122.618,1328.906,1488.446,1442.476,754.499,917.277,1154.850,1270.911,616.495,643.729,517.866,1592.395,1212.466,747.645,1006.484,908.279,54.549,474.173,1067.349,153.534,289.949,277.143,413.815,1394.461,741.246,766.714,970.991,537.210,894.293,915.894,1463.181,1074.155,1017.370,696.727,1132.206,481.728,1168.800,312.043,427.269,787.348,175.796,679.835,256.260,1128.575,860.938,533.713,732.383,1297.723,349.374,407.902,929.634,806.402,1528.162,1153.798,871.573,1263.943,650.938,953.337,1308.590,523.808,1659.359,265.869,517.072,452.519,512.481,508.192,647.219,604.637,727.255,176.997,490.343,1065.523,178.535,351.646,420.451,296.963,51.894,322.592,199.544,84.836,203.367,65.422,290.964,244.330,676.374,92.309,0.000,109.689,246.246,498.626,233.922,277.917,610.450,822.977,150.105,170.646,0.000,43.781,0.000,595.428,286.446,452.682,907.907,386.029,296.098,0.000,602.325,506.243,204.238,309.018,311.707,994.245,786.192,904.500,64.450,345.302,527.911,221.031,0.000,264.176,301.043,0.000,277.138,70.185,117.658,118.721,206.368,786.973,844.031,719.200,372.442,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,55.158,120.004,71.905,21.097,2.558,1.50946e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
